type,_id,category,clothing_size,clothing_type,item_name,clothing_color,price,cost,clothing_brand,item_key
inventory_items,59f307fd1f0d6766995d339f,both,XS,pants,"Acme, Inc.,pants,black,XS",black,15.0,15.0,"Acme, Inc.",item_key_1
inventory_items,59f307fd1f0d6766995d33a0,both,XS,pants,"Acme, Inc.,pants,gray,XS",gray,15.0,15.0,"Acme, Inc.",item_key_2
inventory_items,59f307fd1f0d6766995d33a1,both,XS,pants,"Acme, Inc.,pants,white,XS",white,15.0,15.0,"Acme, Inc.",item_key_3
inventory_items,59f307fd1f0d6766995d33a2,both,XS,pants,"Acme, Inc.,pants,pink,XS",pink,15.0,15.0,"Acme, Inc.",item_key_4
inventory_items,59f307fd1f0d6766995d33a3,both,XS,pants,"Acme, Inc.,pants,red,XS",red,15.0,15.0,"Acme, Inc.",item_key_5
inventory_items,59f307fd1f0d6766995d33a4,both,XS,pants,"Acme, Inc.,pants,orange,XS",orange,15.0,15.0,"Acme, Inc.",item_key_6
inventory_items,59f307fd1f0d6766995d33a5,both,XS,pants,"Acme, Inc.,pants,yellow,XS",yellow,15.0,15.0,"Acme, Inc.",item_key_7
inventory_items,59f307fd1f0d6766995d33a6,both,XS,pants,"Acme, Inc.,pants,green,XS",green,15.0,15.0,"Acme, Inc.",item_key_8
inventory_items,59f307fd1f0d6766995d33a7,both,XS,pants,"Acme, Inc.,pants,blue,XS",blue,15.0,15.0,"Acme, Inc.",item_key_9
inventory_items,59f307fd1f0d6766995d33a8,both,XS,pants,"Acme, Inc.,pants,purple,XS",purple,15.0,15.0,"Acme, Inc.",item_key_10
inventory_items,59f307fd1f0d6766995d33a9,both,XS,pants,"Acme, Inc.,pants,turquoise,XS",turquoise,15.0,15.0,"Acme, Inc.",item_key_11
inventory_items,59f307fd1f0d6766995d33aa,both,XS,pants,"Fancy Clothes, Inc.,pants,black,XS",black,27.0,15.0,"Fancy Clothes, Inc.",item_key_12
inventory_items,59f307fd1f0d6766995d33ab,both,XS,pants,"Fancy Clothes, Inc.,pants,gray,XS",gray,27.0,15.0,"Fancy Clothes, Inc.",item_key_13
inventory_items,59f307fd1f0d6766995d33ac,both,XS,pants,"Fancy Clothes, Inc.,pants,white,XS",white,27.0,15.0,"Fancy Clothes, Inc.",item_key_14
inventory_items,59f307fd1f0d6766995d33ad,both,XS,pants,"Fancy Clothes, Inc.,pants,pink,XS",pink,27.0,15.0,"Fancy Clothes, Inc.",item_key_15
inventory_items,59f307fd1f0d6766995d33ae,both,XS,pants,"Fancy Clothes, Inc.,pants,red,XS",red,27.0,15.0,"Fancy Clothes, Inc.",item_key_16
inventory_items,59f307fd1f0d6766995d33af,both,XS,pants,"Fancy Clothes, Inc.,pants,orange,XS",orange,27.0,15.0,"Fancy Clothes, Inc.",item_key_17
inventory_items,59f307fd1f0d6766995d33cb,both,S,pants,"Acme, Inc.,pants,black,S",black,15.45,15.45,"Acme, Inc.",item_key_45
inventory_items,59f307fd1f0d6766995d33b0,both,XS,pants,"Fancy Clothes, Inc.,pants,yellow,XS",yellow,27.0,15.0,"Fancy Clothes, Inc.",item_key_18
inventory_items,59f307fd1f0d6766995d33b1,both,XS,pants,"Fancy Clothes, Inc.,pants,green,XS",green,27.0,15.0,"Fancy Clothes, Inc.",item_key_19
inventory_items,59f307fd1f0d6766995d33b2,both,XS,pants,"Fancy Clothes, Inc.,pants,blue,XS",blue,27.0,15.0,"Fancy Clothes, Inc.",item_key_20
inventory_items,59f307fd1f0d6766995d33b3,both,XS,pants,"Fancy Clothes, Inc.,pants,purple,XS",purple,27.0,15.0,"Fancy Clothes, Inc.",item_key_21
inventory_items,59f307fd1f0d6766995d33b4,both,XS,pants,"Fancy Clothes, Inc.,pants,turquoise,XS",turquoise,27.0,15.0,"Fancy Clothes, Inc.",item_key_22
inventory_items,59f307fd1f0d6766995d33b5,both,XS,pants,"Discount Threads, Inc.,pants,black,XS",black,13.5,15.0,"Discount Threads, Inc.",item_key_23
inventory_items,59f307fd1f0d6766995d33b6,both,XS,pants,"Discount Threads, Inc.,pants,gray,XS",gray,13.5,15.0,"Discount Threads, Inc.",item_key_24
inventory_items,59f307fd1f0d6766995d33b7,both,XS,pants,"Discount Threads, Inc.,pants,white,XS",white,13.5,15.0,"Discount Threads, Inc.",item_key_25
inventory_items,59f307fd1f0d6766995d33b8,both,XS,pants,"Discount Threads, Inc.,pants,pink,XS",pink,13.5,15.0,"Discount Threads, Inc.",item_key_26
inventory_items,59f307fd1f0d6766995d33b9,both,XS,pants,"Discount Threads, Inc.,pants,red,XS",red,13.5,15.0,"Discount Threads, Inc.",item_key_27
inventory_items,59f307fd1f0d6766995d33ba,both,XS,pants,"Discount Threads, Inc.,pants,orange,XS",orange,13.5,15.0,"Discount Threads, Inc.",item_key_28
inventory_items,59f307fd1f0d6766995d33bb,both,XS,pants,"Discount Threads, Inc.,pants,yellow,XS",yellow,13.5,15.0,"Discount Threads, Inc.",item_key_29
inventory_items,59f307fd1f0d6766995d33bc,both,XS,pants,"Discount Threads, Inc.,pants,green,XS",green,13.5,15.0,"Discount Threads, Inc.",item_key_30
inventory_items,59f307fd1f0d6766995d33bd,both,XS,pants,"Discount Threads, Inc.,pants,blue,XS",blue,13.5,15.0,"Discount Threads, Inc.",item_key_31
inventory_items,59f307fd1f0d6766995d33be,both,XS,pants,"Discount Threads, Inc.,pants,purple,XS",purple,13.5,15.0,"Discount Threads, Inc.",item_key_32
inventory_items,59f307fd1f0d6766995d33bf,both,XS,pants,"Discount Threads, Inc.,pants,turquoise,XS",turquoise,13.5,15.0,"Discount Threads, Inc.",item_key_33
inventory_items,59f307fd1f0d6766995d33c0,both,XS,pants,"California Clothing, Inc.,pants,black,XS",black,18.0,15.0,"California Clothing, Inc.",item_key_34
inventory_items,59f307fd1f0d6766995d33c1,both,XS,pants,"California Clothing, Inc.,pants,gray,XS",gray,18.0,15.0,"California Clothing, Inc.",item_key_35
inventory_items,59f307fd1f0d6766995d33c2,both,XS,pants,"California Clothing, Inc.,pants,white,XS",white,18.0,15.0,"California Clothing, Inc.",item_key_36
